shortname,question_title,type,page,place
os_devenv,On which operating systems are your development environments?,CHECKBOX,4,4
mobile_target_os,For which mobile operating systems do you develop?,CHECKBOX,40,1
db_adopt,"Do you plan to adopt / migrate to other databases in the next 12 months? If so, to which ones? ",CHECKBOX,15,1
proglang,What programming languages have you used in the last 12 months?,CHECKBOX,8,2
tools_ci,Which Continuous Integration (CI) systems do you regularly use?,CHECKBOX,17,1
tools_it,Which Issue Tracking systems do you regularly use?,CHECKBOX,17,2
tools_vcs,"Which Version Control systems do you regularly use, if any?",CHECKBOX,17,4
contribute_os,Do you contribute to open-source projects?,RADIO,46,4
hours_code_job,How many hours a week do you spend coding for your day job (or primary activity)?,RADIO,46,2
tools_adopted,Which of the following kinds of tools have you / your team <strong>adopted</strong> in the past 12 months?,CHECKBOX,18,1
unittests_how,How do you do unit testing in your projects?,RADIO,14,3
team_size,How many people are in your project team?,RADIO,53,1
advocate,Do you advocate for the development tools you like within your organization / with your colleagues?,RADIO,52,7
team_distributed,How is your team distributed?,RADIO,53,4
java_version,Which versions of <u>Java</u> do you regularly use?,CHECKBOX,19,2
java_app_server,"What application servers do you regularly use, if any?",CHECKBOX,19,3
java_app_frameworks,"Which frameworks do you use as an alternative to an application server, if any?",CHECKBOX,19,4
java_package,How do you package your web applications?,CHECKBOX,19,5
java_web_frameworks,"What web frameworks do you use, if any?",CHECKBOX,19,7
java_buildsystem,"Which build systems do you regularly use, if any?",CHECKBOX,19,8
company_size,How many people work for your company / organization?,RADIO,52,1
job_role,Which of the following best describes your job role regardless of the level of your position?,CHECKBOX,4,2
age_range,Could you tell us your age range?,RADIO,5,2
adopt_proglang,"Do you plan to adopt / migrate to other languages in the next 12 months? If so, to which ones? ",CHECKBOX,11,2
cloud_services,Which cloud services do you use? ,CHECKBOX,45,4
tools_cloud,Do you use any of the following tools in the cloud?,CHECKBOX,18,4
where_sources,Where do you keep your source code?,CHECKBOX,18,5
vc_service,"Which Version Control Services do you regularly use, if any?",CHECKBOX,17,5
